62735, GREEDY, UCB1 (3), -1, 33353533522225225444, -0.628571428571429
42394, GREEDY, UCB1 (3), -1, 32333222352352555044, -0.628571428571429
12312, GREEDY, UCB1 (3), -1, 3533353553522225224644, -0.571428571428571
50452, GREEDY, UCB1 (3), 1, 32323322332246444646641016111, 0.297142857142857
22323, GREEDY, UCB1 (3), -1, 333535335225242244, -0.685714285714286
39123, GREEDY, UCB1 (3), -1, 34333444314431161122, -0.628571428571429
75675, GREEDY, UCB1 (3), -1, 343334414131134416252622, -0.514285714285714
12392, GREEDY, UCB1 (3), -1, 343334443144311212, -0.685714285714286
11221, GREEDY, UCB1 (3), 0, 323233223324444642466610111106055555001056, 0
13200, GREEDY, UCB1 (3), -1, 32323322332626466044444600001515, -0.285714285714286
99932, GREEDY, UCB1 (3), -1, 323332223520325550500544, -0.514285714285714
65651, GREEDY, UCB1 (3), -1, 32333225253553225040400144, -0.457142857142857
83737, GREEDY, UCB1 (3), -1, 35353335563444, -0.8
20991, GREEDY, UCB1 (3), -1, 333535335225242244, -0.685714285714286
93715, GREEDY, UCB1 (11), 1, 3234363, 0.8
62735, GREEDY, UCB1 (11), -1, 333631331616611441444222, -0.514285714285714
42394, GREEDY, UCB1 (11), 1, 3136363, 0.8
12312, GREEDY, UCB1 (11), 1, 33323533252552225044444, 0.434285714285714
50452, GREEDY, UCB1 (11), -1, 34333444314314111622, -0.628571428571429
22323, GREEDY, UCB1 (11), -1, 34333444314314111622, -0.628571428571429
39123, GREEDY, UCB1 (11), 1, 3436323, 0.8
75675, GREEDY, UCB1 (11), 1, 32333533252552244444562666400500011, 0.16
12392, GREEDY, UCB1 (11), -1, 3533313315155111502222262544, -0.4
11221, GREEDY, UCB1 (11), -1, 34313333414110441222, -0.628571428571429
13200, GREEDY, UCB1 (11), 1, 3136313, 0.8
99932, GREEDY, UCB1 (11), -1, 33313131131551555224222544, -0.457142857142857
65651, GREEDY, UCB1 (11), -1, 3336303324222446412662441011, -0.4
83737, GREEDY, UCB1 (11), -1, 3131311333102422, -0.742857142857143
20991, GREEDY, UCB1 (11), 1, 303030023, 0.754285714285714
93715, GREEDY, UCB1 (0.5), -1, 3133313616144664414322222555, -0.4
62735, GREEDY, UCB1 (0.5), 1, 3535323, 0.8
42394, GREEDY, UCB1 (0.5), -1, 33323131131221212244, -0.628571428571429
12312, GREEDY, UCB1 (0.5), 1, 36333232212621121664444, 0.434285714285714
50452, GREEDY, UCB1 (0.5), -1, 32333222352035544144, -0.628571428571429
22323, GREEDY, UCB1 (0.5), 1, 3633303636600444422025255, 0.388571428571429
39123, GREEDY, UCB1 (0.5), 1, 323232213, 0.754285714285714
75675, GREEDY, UCB1 (0.5), 1, 34333531444430151556151, 0.434285714285714
12392, GREEDY, UCB1 (0.5), 1, 3431313, 0.8
11221, GREEDY, UCB1 (0.5), 1, 3533353441444552212621123010500, 0.251428571428571
13200, GREEDY, UCB1 (0.5), 1, 323335322425264241455, 0.48
99932, GREEDY, UCB1 (0.5), -1, 34313331131144442622, -0.628571428571429
65651, GREEDY, UCB1 (0.5), 1, 3232363, 0.8
83737, GREEDY, UCB1 (0.5), 1, 3233343124212115414, 0.525714285714286
20991, GREEDY, UCB1 (0.5), 1, 3134363, 0.8
93715, GREEDY, UCB1 (0.09), 1, 303533303110001115505155222222444, 0.205714285714286
62735, GREEDY, UCB1 (0.09), 1, 313633363226612422144, 0.48
42394, GREEDY, UCB1 (0.09), 1, 323331302025223616111556600, 0.342857142857143
12312, GREEDY, UCB1 (0.09), -1, 30303332242620024446466535, -0.457142857142857
50452, GREEDY, UCB1 (0.09), 1, 3230303, 0.8
22323, GREEDY, UCB1 (0.09), 1, 3534323, 0.8
39123, GREEDY, UCB1 (0.09), 1, 3433303442442620212, 0.525714285714286
75675, GREEDY, UCB1 (0.09), 1, 3230313, 0.8
12392, GREEDY, UCB1 (0.09), 1, 3432303, 0.8
11221, GREEDY, UCB1 (0.09), 1, 36313332212111212, 0.571428571428572
13200, GREEDY, UCB1 (0.09), 1, 3035323, 0.8
99932, GREEDY, UCB1 (0.09), 1, 3232353, 0.8
65651, GREEDY, UCB1 (0.09), 1, 33303132222525525311151000404, 0.297142857142857
83737, GREEDY, UCB1 (0.09), -1, 3130333031111441424422, -0.571428571428571
20991, GREEDY, UCB1 (0.09), 1, 3033313114104341414, 0.525714285714286
93715, GREEDY, UCB1 (1.27), 1, 33343440413340141001155656566, 0.297142857142857
62735, GREEDY, UCB1 (1.27), -1, 343433404131121622, -0.685714285714286
42394, GREEDY, UCB1 (1.27), -1, 32333220223630060661101110244644, -0.285714285714286
12312, GREEDY, UCB1 (1.27), -1, 323332252535523050011511160021464644, -0.171428571428571
50452, GREEDY, UCB1 (1.27), -1, 3334334441411134112622, -0.571428571428571
22323, GREEDY, UCB1 (1.27), -1, 33313133141441404422, -0.628571428571429
39123, GREEDY, UCB1 (1.27), -1, 31333431144411422522, -0.628571428571429
75675, GREEDY, UCB1 (1.27), -1, 333535335225242244, -0.685714285714286
12392, GREEDY, UCB1 (1.27), 1, 3232332234244446302000466605555, 0.251428571428571
11221, GREEDY, UCB1 (1.27), -1, 343433443040300426222626620011, -0.342857142857143
13200, GREEDY, UCB1 (1.27), 1, 3232332622353556552666444, 0.388571428571429
99932, GREEDY, UCB1 (1.27), 1, 3232332236263662444440400001111, 0.251428571428571
65651, GREEDY, UCB1 (1.27), -1, 343334414436341616611550555000262022, -0.171428571428571
83737, GREEDY, UCB1 (1.27), 1, 33363233262660222000444445555655411, 0.16
20991, GREEDY, UCB1 (1.27), -1, 3433344146364436611115565555202022, -0.228571428571429
